序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
160,华泰证券,06886,16.89,-0.76,601688,20.1,-0.89,1.38,37.91
161,中国人寿,02628,28.44,-0.77,601628,39.73,0.0,1.62,61.89
162,大唐发电,00991,2.49,-0.8,601991,6.11,-1.77,2.84,184.37
163,金力永磁,06680,16.49,-0.84,300748,24.3,-1.82,1.71,70.78
164,江西铜业,00358,34.8,-0.85,600362,41.99,-2.8,1.4,39.83
165,兖矿能源,01171,11.52,-0.86,600188,19.61,-1.8,1.97,97.27
166,中国石化,00386,4.27,-0.93,600028,5.14,-0.19,1.4,39.5
167,美凯龙,01528,1.04,-0.95,601828,2.16,-0.46,2.41,140.69
168,中国海油,00883,22.96,-1.03,600938,30.42,-3.58,1.54,53.54
169,复旦微电,01385,24.62,-1.05,688385,50.0,-2.7,2.34,134.4
170,郑州银行,06196,0.9,-1.1,002936,1.77,-0.56,2.28,127.91
171,百济神州,06160,197.5,-1.1,688235,271.0,-1.09,1.59,59.42
172,晶合集成,02249,32.0,-1.17,688249,43.0,-3.11,1.56,55.72
173,大众公用,01635,2.3,-1.29,600635,4.42,-1.12,2.22,121.74
174,中远海控,01919,15.26,-1.29,601919,15.26,-0.33,1.16,15.89
175,中国石油,00857,9.71,-1.42,601857,10.81,-0.83,1.29,29.15
176,东方电气,01072,21.54,-1.55,600875,25.58,-1.73,1.38,37.62
177,山东黄金,01787,19.2,-1.64,600547,25.88,-2.12,1.56,56.21
178,比亚迪,01211,87.05,-1.69,002594,92.4,0.0,1.23,23.01
179,金隅集团,02009,0.58,-1.69,601992,1.39,0.0,2.78,177.73
180,中船防务,00317,11.38,-1.73,600685,25.75,-1.0,2.62,162.23
181,钧达股份,02865,16.2,-1.76,002865,42.1,-1.41,3.01,201.17
182,中国能建,03996,1.09,-1.8,601868,2.55,-0.78,2.71,171.11
183,建设银行,00939,8.8,-2.11,601939,10.42,0.58,1.37,37.22
184,滨化股份,06745,3.43,-2.28,601678,6.87,-2.69,2.32,132.11
185,埃斯顿,02715,17.91,-2.29,002747,31.47,-0.25,2.04,103.63
186,安德利,02218,17.0,-2.3,605198,56.25,-1.21,3.83,283.45
187,赤峰黄金,06693,31.2,-2.56,600988,37.09,-2.75,1.38,37.77
188,紫金矿业,02899,31.84,-2.57,601899,31.2,-1.79,1.14,13.56
189,蓝思科技,06613,21.64,-2.61,300433,35.01,-4.42,1.88,87.66
190,广和通,00638,7.36,-3.03,300638,19.57,-1.81,2.99,198.81
191,大族数控,03200,107.8,-3.49,301200,256.5,-3.27,2.76,175.75
192,华虹宏力,01347,141.9,-4.51,688347,295.0,-4.35,2.42,141.6
193,山东墨龙,00568,5.0,-4.58,002490,7.02,-3.84,1.63,62.71
194,芯碁微装,09630,320.0,-4.71,688630,408.0,-3.06,1.41,41.14
195,纳芯微,02676,138.4,-4.88,688052,202.47,-0.49,1.7,69.54
196,澜起科技,06809,306.0,-4.97,688008,215.0,-5.47,0.81,-18.58
197,长飞光纤,06869,118.6,-5.65,601869,324.2,-3.48,3.14,214.4
198,胜宏科技,02476,214.2,-5.97,300476,226.72,-5.0,1.23,22.66
199,剑桥科技,06166,83.65,-6.06,603083,165.96,-4.5,2.3,129.92
200,兆易创新,03986,510.0,-6.59,603986,400.22,-7.79,0.91,-9.24
201,南京熊猫,00553,3.37,-7.16,600775,9.8,4.14,3.34,234.03
202,潍柴动力,02338,30.46,-9.99,000338,27.6,-2.99,1.05,5.01
