date,value
2015-02-04,7.0556
2015-02-05,7.1055
2015-02-06,8.6035
2015-02-09,4.48
2015-02-10,3.877
2015-02-11,3.998
2015-02-12,4.5
2015-02-13,4.5805
2015-02-16,3.8
2015-02-17,3.0212
2015-02-18,1.916
2015-02-23,1.842
2015-02-24,1.4395
2015-02-25,1.612
2015-02-26,1.7105
2015-02-27,2.782
2015-03-02,3.265
2015-03-03,3.407
2015-03-04,4.809
2015-03-05,4.369
2015-03-06,4.2398
2015-03-09,4.7062
2015-03-10,4.7655
2015-03-11,4.603
2015-03-12,5.365
2015-03-13,5.021
2015-03-16,4.964
2015-03-17,4.98
2015-03-18,4.028
2015-03-19,4.007
2015-03-20,4.0215
2015-03-23,3.431
2015-03-24,2.794
2015-03-25,3.933
2015-03-26,3.6255
2015-03-27,3.0735
2015-03-30,3.452
2015-03-31,3.2905
2015-04-01,3.834
2015-04-02,4.2585
2015-04-08,4.1035
2015-04-09,2.0675
2015-04-10,3.95
2015-04-13,3.584
2015-04-14,2.749
2015-04-15,3.002
2015-04-16,3.669
2015-04-17,4.023
2015-04-20,4.841
2015-04-21,4.276
2015-04-22,3.1585
2015-04-23,3.3615
2015-04-24,3.349
2015-04-27,2.2785
2015-04-28,2.6835
2015-04-29,2.312
2015-04-30,1.9855
2015-05-04,1.7125
2015-05-05,1.528
2015-05-06,1.945
2015-05-07,2.252
2015-05-08,2.2225
2015-05-11,2.0725
2015-05-12,2.932
2015-05-13,2.539
2015-05-14,2.2975
2015-05-15,1.6335
2015-05-18,1.691
2015-05-19,1.4745
2015-05-20,1.4875
2015-05-21,1.5485
2015-05-22,2.517
2015-05-26,2.768
2015-05-27,2.322
2015-05-28,2.0045
2015-05-29,1.7315
2015-06-01,1.6205
2015-06-02,1.5705
2015-06-03,1.772
2015-06-04,1.64
2015-06-05,1.6535
2015-06-08,1.7305
2015-06-09,2.0205
2015-06-10,2.139
2015-06-11,1.9795
2015-06-12,1.935
2015-06-15,2.9065
2015-06-16,2.8255
2015-06-17,2.549
2015-06-18,3.965
2015-06-19,3.701
2015-06-22,3.3815
2015-06-23,4.708
2015-06-24,5.655
2015-06-25,3.3825
2015-06-26,2.9885
2015-06-29,3.675
2015-06-30,3.9211
2015-07-02,5.151
2015-07-03,5.825
2015-07-06,3.884
2015-07-07,2.32
2015-07-08,1.6275
2015-07-09,1.513
2015-07-10,1.3685
2015-07-13,1.5845
2015-07-14,1.369
2015-07-15,1.474
2015-07-16,1.6375
2015-07-17,1.585
2015-07-20,1.6465
2015-07-21,2.298
2015-07-22,2.053
2015-07-23,1.6255
