序号,名称,H股代码,最新价-HKD,H股-涨跌幅,A股代码,最新价-RMB,A股-涨跌幅,比价,溢价
43,金隅集团,02009,0.58,1.75,601992,1.42,0.0,2.84,183.6
44,蓝思科技,06613,21.9,1.67,300433,38.3,-1.31,2.03,102.58
45,石化油服,01033,0.62,1.64,600871,2.05,-1.44,3.83,283.0
46,海天味业,03288,31.9,1.53,603288,36.32,2.17,1.32,31.88
47,中国国航,00753,4.11,1.48,601111,5.9,-1.17,1.66,66.28
48,北辰实业,00588,0.69,1.47,601588,1.66,0.61,2.79,178.67
49,农业银行,01288,5.61,1.45,601288,6.3,-1.1,1.3,30.08
50,天齐锂业,09696,33.68,1.45,002466,49.34,4.03,1.7,69.69
51,江西铜业,00358,32.32,1.44,600362,42.11,-0.4,1.51,50.92
52,中国外运,00598,4.27,1.43,601598,5.51,-0.18,1.49,49.47
53,XD青岛啤,00168,44.92,1.4,600600,52.86,0.51,1.36,36.31
54,金风科技,02208,9.74,1.35,002202,18.59,-1.54,2.21,121.08
55,工商银行,01398,6.88,1.33,601398,7.39,-1.6,1.24,24.42
56,凯盛新能,01108,2.33,1.3,600876,6.66,0.6,3.31,231.1
57,兆威机电,02692,50.0,1.3,003021,82.99,1.22,1.92,92.26
58,百济神州,06160,190.8,1.27,688235,271.73,-1.01,1.65,64.97
59,晶合集成,02249,30.92,1.24,688249,48.72,-3.22,1.83,82.52
60,海尔智家,06690,21.2,1.24,600690,21.11,0.43,1.15,15.34
61,宁沪高速,00177,9.85,1.23,600377,11.83,-0.59,1.39,39.12
62,大众公用,01635,2.47,1.23,600635,4.47,1.59,2.1,109.63
63,新华文轩,00811,9.15,1.22,601811,12.4,2.73,1.57,56.98
64,复旦张江,01349,2.52,1.2,688505,7.97,-1.24,3.66,266.35
65,中国银行,03988,5.1,1.19,601988,5.8,-1.36,1.32,31.73
66,顺丰控股,06936,32.48,1.12,002352,33.4,-0.24,1.19,19.12
67,中远海发,02866,0.91,1.11,601866,2.38,-1.24,3.03,202.95
68,创业环保,01065,3.7,1.09,600874,5.49,-0.72,1.72,71.87
69,京城股份,00187,2.96,1.02,600860,7.91,0.51,3.1,209.54
70,赤峰黄金,06693,27.66,1.02,600988,34.62,3.65,1.45,44.98
71,中国铁建,01186,4.97,1.02,601186,6.37,0.16,1.48,48.46
72,弘业期货,03678,2.11,0.96,001236,7.07,-0.14,3.88,288.13
73,白云山,00874,15.9,0.95,600332,22.66,0.98,1.65,65.08
74,美凯龙,01528,1.08,0.93,601828,2.26,0.44,2.42,142.39
75,可孚医疗,01187,32.7,0.93,301087,50.14,0.28,1.78,77.61
76,沃尔核材,09981,11.0,0.92,002130,15.98,-0.31,1.68,68.28
77,海信家电,00921,22.6,0.89,000921,25.68,-2.17,1.32,31.62
78,泰格医药,03347,39.24,0.87,300347,53.99,4.03,1.59,59.38
79,中国中车,01766,4.63,0.87,601766,5.61,0.18,1.4,40.35
80,三花智控,02050,27.72,0.8,002050,41.83,0.8,1.75,74.8
81,中国移动,00941,79.6,0.76,600941,93.05,0.27,1.35,35.41
82,中国平安,02318,54.8,0.74,601318,50.67,-0.55,1.07,7.1
83,海螺水泥,00914,17.03,0.71,600585,17.55,-0.57,1.19,19.37
84,上海电气,02727,3.22,0.63,601727,6.51,-0.61,2.34,134.19
85,中原证券,01375,1.71,0.59,601375,4.13,-0.72,2.8,179.76
86,中铝国际,02068,1.79,0.56,601068,4.34,0.0,2.81,180.85
87,中国电信,00728,4.64,0.43,601728,5.89,0.17,1.47,47.04
88,昊海生科,06826,16.55,0.42,688366,33.3,1.68,2.33,133.07
89,邮储银行,01658,4.8,0.42,601658,5.05,-0.79,1.22,21.87
90,秦港股份,03369,2.43,0.41,601326,3.42,-0.29,1.63,63.03
91,复旦微电,01385,28.1,0.36,688385,58.7,-3.8,2.42,141.97
92,中国中免,01880,50.7,0.3,601888,54.52,0.2,1.25,24.56
93,中联重科,01157,6.94,0.29,000157,7.28,-1.09,1.22,21.51
94,鼎泰高科,01377,417.8,0.29,301377,463.19,-1.0,1.28,28.42
95,建设银行,00939,8.19,0.24,601939,9.8,-2.0,1.39,38.61
96,华泰证券,06886,16.85,0.24,601688,20.36,-1.31,1.4,39.96
97,长城汽车,02333,8.81,0.23,601633,15.89,1.99,2.09,108.92
98,招商银行,03968,46.3,0.22,600036,37.67,-0.24,0.94,-5.76
99,渝农商行,03618,6.37,0.16,601077,6.64,-0.75,1.21,20.74
100,青岛港,06198,6.67,0.15,601298,8.37,-1.18,1.45,45.36
101,中海油服,02883,6.79,0.15,601808,11.68,0.95,1.99,99.26
102,龙蟠科技,02465,10.17,0.1,603906,19.5,-1.42,2.22,122.1
103,皖通高速,00995,14.72,0.07,600012,16.92,0.65,1.33,33.15
104,郑州银行,06196,0.89,0.0,002936,1.76,0.0,2.29,129.07
105,光大证券,06178,7.46,0.0,601788,14.79,-1.14,2.3,129.65
106,辽港股份,02880,0.67,0.0,601880,1.45,0.0,2.51,150.69
107,中伟新材,02579,24.78,0.0,300919,37.84,-2.87,1.77,76.88
108,重庆银行,01963,7.6,0.0,601963,10.54,-0.85,1.61,60.64
109,国联民生,01456,3.95,0.0,601456,9.02,-0.55,2.65,164.51
110,华电国际,01071,3.89,0.0,600027,4.58,-1.08,1.36,36.38
111,东江环保,00895,1.68,0.0,002672,3.45,0.29,2.38,137.87
112,中国中铁,00390,3.46,0.0,601390,4.44,-0.22,1.49,48.64
113,鞍钢股份,00347,1.16,0.0,000898,1.96,0.51,1.96,95.72
114,上海石化,00338,1.09,0.0,600688,2.75,-3.17,2.92,192.24
